lambda,agency_regeneration,agency_transformative_gain,gamma,k_p,f_target,mean_friction,mean_transformative_capacity,mean_human_agency,mean_ai_intervention,adaptive_window_fraction,final_friction,final_transformative_capacity,final_human_agency,final_ai_intervention,adaptive_score,agency_compression_score,regime
0.15,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.5822397776691054,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.296460813703596,0.9139528185022696,0.3391293801774824,0.4177602223308946,homeostatic_trap
0.1525,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.577443138548372,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.29038388038761026,0.9139528185022696,0.3367310606171157,0.42255686145162796,homeostatic_trap
0.155,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.5727073727879384,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.2844370499766841,0.9139528185022696,0.3343631777368989,0.4272926272120616,homeostatic_trap
0.1575,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.568031564449793,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.2786175127866387,0.9139528185022696,0.3320252735678262,0.43196843555020703,homeostatic_trap
0.16,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.5634148126890487,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.2729225199604762,0.9139528185022696,0.32971689768745405,0.4365851873109513,homeostatic_trap
0.1625,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.5588562314910197,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.26734938215073356,0.9139528185022696,0.32743760708843955,0.4411437685089803,homeostatic_trap
0.165,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.5543549494130582,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.26189546823039667,0.9139528185022696,0.3251869660494588,0.4456450505869418,homeostatic_trap
0.1675,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.5499101093310431,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.25655820403170965,0.9139528185022696,0.32296454600845126,0.4500898906689569,homeostatic_trap
0.17,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.5455208681904653,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.25133507111232495,0.9139528185022696,0.32076992543816235,0.4544791318095347,homeostatic_trap
0.1725,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.5411863967619851,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.2462236055481586,0.9139528185022696,0.31860268972392225,0.4588136032380149,homeostatic_trap
