boundary,lambda,agency_regeneration,agency_transformative_gain,gamma,k_p,f_target,mean_friction,mean_transformative_capacity,mean_human_agency,mean_ai_intervention,adaptive_window_fraction,final_friction,final_transformative_capacity,final_human_agency,final_ai_intervention,adaptive_score,agency_compression_score,R_eff,regime
homeostatic_trap_boundary,0.059,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8077304329233435,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6369706681895385,0.9139528185022696,0.4518747078046014,0.19226956707665654,9.48245929626756,homeostatic_trap
homeostatic_trap_boundary,0.05925,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8069467294067002,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6356188151042385,0.9139528185022696,0.4514828560462798,0.1930532705932998,9.52263920853988,homeostatic_trap
homeostatic_trap_boundary,0.0595,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8061641128715508,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6342698994542426,0.9139528185022696,0.4510915477787051,0.19383588712844924,9.5628191208122,homeostatic_trap
homeostatic_trap_boundary,0.05975,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8053822801274164,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6329236862725168,0.9139528185022696,0.4507006314066379,0.19461771987258358,9.60299903308452,homeostatic_trap
homeostatic_trap_boundary,0.06,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8046015261320222,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6315803946567929,0.9139528185022696,0.4503102544089408,0.19539847386797782,9.643178945356842,homeostatic_trap
homeostatic_trap_boundary,0.06025,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8038218545316287,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6302400222969197,0.9139528185022696,0.44992041860874404,0.1961781454683713,9.68335885762916,homeostatic_trap
homeostatic_trap_boundary,0.0605,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.803043263601781,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6289025628176377,0.9139528185022696,0.4495311231438202,0.19695673639821898,9.72353876990148,homeostatic_trap
homeostatic_trap_boundary,0.06075,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8022657516209863,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6275680098576353,0.9139528185022696,0.4491423671534229,0.19773424837901366,9.763718682173801,homeostatic_trap
homeostatic_trap_boundary,0.061,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8014893168707033,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6262363570695026,0.9139528185022696,0.4487541497782814,0.19851068312929665,9.803898594446121,homeostatic_trap
homeostatic_trap_boundary,0.06125,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.8007139576353418,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.624907598119714,0.9139528185022696,0.4483664701606006,0.1992860423646582,9.844078506718441,homeostatic_trap
homeostatic_trap_boundary,0.0615,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.7999396722022535,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6235817266885878,0.9139528185022696,0.44797932744405644,0.20006032779774652,9.884258418990761,homeostatic_trap
homeostatic_trap_boundary,0.06175,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.7991664588617361,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.622258736470269,0.9139528185022696,0.44759272077379775,0.2008335411382639,9.924438331263083,homeostatic_trap
homeostatic_trap_boundary,0.062,0.005,0.005,0.4,0.16,0.15,0.15571244290742936,0.09601898268585939,0.7983943159070139,0.8807589314623087,0.019,0.15023779179019447,0.08490681024664234,0.6209386211726856,0.9139528185022696,0.44720664929643666,0.20160568409298607,9.964618243535403,homeostatic_trap
